"Date","Price","Open","High","Low","Vol.","Change %"
"09/13/2024","100.00","100.00","100.00","100.00","0.00K","0.00%"
"09/10/2024","100.00","105.50","105.50","100.00","0.10K","-5.21%"
"09/09/2024","105.50","105.00","105.50","100.00","0.32K","-0.94%"
"09/06/2024","106.50","100.50","106.50","100.50","0.05K","-0.47%"
"09/04/2024","107.00","107.00","107.00","107.00","0.00K","5.94%"
"09/03/2024","101.00","101.00","101.00","101.00","0.47K","-1.94%"
"09/02/2024","103.00","103.00","103.00","103.00","0.03K","0.00%"
"08/30/2024","103.00","103.00","103.00","100.00","0.13K","0.00%"
"08/29/2024","103.00","103.00","103.00","103.00","0.00K","0.00%"
"08/28/2024","103.00","106.50","106.50","100.25","0.01K","-2.83%"
"08/27/2024","106.00","107.00","107.00","100.00","0.12K","4.69%"
"08/26/2024","101.25","101.25","101.25","101.25","0.00K","-4.48%"
"08/23/2024","106.00","106.00","106.00","106.00","0.01K","0.00%"
"08/22/2024","106.00","106.00","106.00","106.00","0.00K","0.95%"
"08/21/2024","105.00","105.00","105.00","105.00","0.01K","-0.94%"
"08/16/2024","106.00","106.75","107.00","106.00","0.06K","4.95%"
"08/15/2024","101.00","106.00","106.50","101.00","0.12K","-5.16%"
"08/14/2024","106.50","106.50","106.50","100.25","0.00K","0.00%"
"08/13/2024","106.50","100.00","106.50","100.00","0.01K","0.47%"
"08/09/2024","106.00","106.50","106.50","100.00","0.02K","-0.47%"
"08/08/2024","106.50","107.00","107.00","106.50","0.01K","0.24%"
"08/07/2024","106.25","106.50","106.50","106.25","0.10K","5.72%"
"08/05/2024","100.50","100.50","100.50","100.50","0.00K","-0.74%"
"08/02/2024","101.25","105.00","106.50","101.25","0.02K","-4.48%"
"08/01/2024","106.00","106.25","106.75","101.00","0.61K","-0.24%"
"07/31/2024","106.25","106.25","106.25","106.25","0.02K","-0.70%"
"07/30/2024","107.00","105.00","107.00","105.00","0.10K","1.90%"
"07/29/2024","105.00","100.00","105.00","100.00","0.10K","5.00%"
"07/26/2024","100.00","100.00","100.00","100.00","0.10K","0.00%"
"07/25/2024","100.00","101.50","102.00","100.00","0.11K","-1.96%"
"07/24/2024","102.00","99.10","102.00","99.10","0.00K","0.00%"
"07/23/2024","102.00","98.00","102.00","98.00","0.10K","-4.23%"
"07/19/2024","106.50","101.50","106.50","101.50","0.12K","7.58%"
"07/18/2024","99.00","100.00","101.25","99.00","1.52K","-7.26%"
"07/17/2024","106.75","106.75","106.75","100.25","0.01K","6.22%"
"07/16/2024","100.50","107.00","107.00","100.50","0.01K","-5.19%"
"07/15/2024","106.00","100.00","106.00","100.00","0.01K","1.92%"
"07/12/2024","104.00","94.50","106.00","94.50","0.09K","-1.89%"
"07/10/2024","106.00","106.00","106.00","106.00","0.01K","1.92%"
"07/08/2024","104.00","106.00","106.00","104.00","0.02K","-2.35%"
"07/04/2024","106.50","106.50","106.50","106.50","0.00K","0.00%"
"07/03/2024","106.50","106.00","106.50","106.00","0.03K","4.41%"
"07/02/2024","102.00","102.00","102.00","102.00","0.01K","-4.67%"
"06/26/2024","107.00","107.00","107.00","107.00","0.01K","0.23%"
"06/24/2024","106.75","107.00","107.00","106.75","0.02K","0.71%"
"06/20/2024","106.00","106.00","106.00","106.00","0.02K","-0.93%"
"06/19/2024","107.00","104.00","107.00","104.00","0.01K","0.00%"
"06/18/2024","107.00","107.00","107.00","107.00","0.30K","0.00%"
"06/14/2024","107.00","107.00","107.00","107.00","0.00K","0.00%"
"06/13/2024","107.00","107.00","107.00","107.00","0.01K","0.00%"
"06/12/2024","107.00","107.00","107.00","106.00","0.30K","0.00%"
"06/11/2024","107.00","106.75","107.00","104.50","0.13K","0.00%"
"06/10/2024","107.00","102.00","107.00","102.00","1.46K","3.38%"
"06/07/2024","103.50","101.00","103.50","101.00","0.01K","-0.48%"
"06/06/2024","104.00","103.00","104.00","100.25","0.09K","0.24%"
"06/05/2024","103.75","104.00","104.00","103.75","0.00K","0.24%"
"06/04/2024","103.50","103.50","103.50","103.50","0.06K","1.47%"
"06/03/2024","102.00","103.00","103.00","102.00","0.06K","-2.63%"
"05/31/2024","104.75","104.00","107.00","104.00","5.19K","6.89%"
"05/30/2024","98.00","98.00","104.00","98.00","2.43K","-0.10%"
"05/29/2024","98.10","97.80","102.25","97.00","0.27K","-1.90%"
"05/28/2024","100.00","101.50","102.00","96.00","0.31K","-1.96%"
"05/22/2024","102.00","101.00","102.00","101.00","0.01K","0.00%"
"05/21/2024","102.00","102.00","102.00","102.00","0.00K","-0.97%"
"05/17/2024","103.00","103.00","103.00","103.00","0.01K","-0.48%"
"05/16/2024","103.50","103.50","103.50","103.50","0.00K","-0.24%"
"05/13/2024","103.75","103.75","103.75","103.75","0.00K","-1.19%"
"05/09/2024","105.00","105.00","105.00","105.00","0.00K","5.00%"
"05/08/2024","100.00","104.00","104.00","100.00","1.02K","-3.61%"
"05/07/2024","103.75","103.75","103.75","103.75","0.02K","3.75%"
"05/06/2024","100.00","100.00","100.00","100.00","0.01K","-3.85%"
"05/02/2024","104.00","104.00","104.00","104.00","0.10K","0.00%"
"04/30/2024","104.00","104.50","104.50","104.00","0.00K","-0.72%"
"04/29/2024","104.75","101.75","105.00","101.00","0.75K","3.20%"
"04/26/2024","101.50","98.80","102.00","96.00","3.66K","4.64%"
