"Date","Price","Open","High","Low","Vol.","Change %"
"09/13/2024","26.80","26.60","26.80","26.60","1.25K","-0.37%"
"09/12/2024","26.90","26.40","26.90","26.00","26.61K","1.51%"
"09/11/2024","26.50","26.90","26.90","26.50","3.50K","0.00%"
"09/10/2024","26.50","27.00","27.00","26.50","4.66K","-1.49%"
"09/09/2024","26.90","27.50","27.50","26.90","0.12K","1.89%"
"09/06/2024","26.40","26.30","26.80","26.30","0.17K","0.38%"
"09/05/2024","26.30","27.00","27.00","26.30","4.53K","-1.87%"
"09/04/2024","26.80","26.80","26.80","26.80","0.01K","2.68%"
"09/03/2024","26.10","26.30","27.00","26.00","39.67K","-1.14%"
"09/02/2024","26.40","27.00","27.00","26.40","49.52K","-2.22%"
"08/30/2024","27.00","27.00","27.00","27.00","0.43K","0.00%"
"08/29/2024","27.00","27.00","27.00","27.00","0.04K","1.50%"
"08/28/2024","26.60","26.90","26.90","26.60","0.25K","-0.37%"
"08/27/2024","26.70","26.90","27.00","26.60","37.95K","-1.11%"
"08/26/2024","27.00","27.00","27.20","27.00","17.93K","-0.37%"
"08/23/2024","27.10","27.40","27.50","27.00","27.00K","-1.09%"
"08/22/2024","27.40","27.40","27.40","27.40","0.01K","1.48%"
"08/21/2024","27.00","27.20","27.20","27.00","6.00K","-4.26%"
"08/20/2024","28.20","27.10","28.20","27.10","0.12K","4.06%"
"08/16/2024","27.10","27.00","27.50","27.00","34.37K","-1.81%"
"08/15/2024","27.60","28.00","28.00","27.20","7.13K","0.00%"
"08/14/2024","27.60","27.50","27.60","27.50","12.45K","0.36%"
"08/13/2024","27.50","27.60","27.60","27.50","8.22K","-1.43%"
"08/12/2024","27.90","27.50","28.40","27.50","2.17K","1.09%"
"08/09/2024","27.60","27.50","28.00","27.50","3.09K","-1.43%"
"08/08/2024","28.00","28.00","28.00","27.50","26.11K","0.36%"
"08/07/2024","27.90","27.60","27.90","27.50","2.32K","1.45%"
"08/06/2024","27.50","27.70","28.00","27.50","54.75K","-0.72%"
"08/05/2024","27.70","28.00","28.10","27.70","133.22K","-1.42%"
"08/02/2024","28.10","28.00","28.50","28.00","0.24K","0.00%"
"08/01/2024","28.10","27.90","28.20","27.90","1.34K","0.36%"
"07/31/2024","28.00","28.20","28.20","27.90","6.79K","-0.71%"
"07/30/2024","28.20","28.00","28.20","28.00","20.23K","0.00%"
"07/29/2024","28.20","28.20","28.20","28.00","29.87K","-4.08%"
"07/26/2024","29.40","29.40","29.40","29.00","9.13K","1.38%"
"07/25/2024","29.00","29.00","29.40","29.00","2.13K","-1.69%"
"07/24/2024","29.50","29.00","29.50","29.00","10.36K","0.68%"
"07/23/2024","29.30","29.00","29.40","29.00","4.74K","1.03%"
"07/22/2024","29.00","29.40","29.40","29.00","3.47K","-0.34%"
"07/19/2024","29.10","29.40","29.40","29.10","1.95K","0.00%"
"07/18/2024","29.10","29.10","29.40","29.10","312.24K","-0.68%"
"07/17/2024","29.30","29.00","29.40","29.00","597.98K","0.69%"
"07/16/2024","29.10","29.00","29.40","28.80","2.21K","-0.34%"
"07/15/2024","29.20","29.20","29.40","29.00","223.94K","0.00%"
"07/12/2024","29.20","28.80","29.20","28.80","0.44K","0.69%"
"07/11/2024","29.00","28.50","29.20","28.50","76.45K","1.05%"
"07/10/2024","28.70","28.60","29.20","28.60","59.85K","0.00%"
"07/09/2024","28.70","28.50","28.70","28.50","88.60K","-1.03%"
"07/08/2024","29.00","28.70","29.00","28.50","31.73K","0.35%"
"07/05/2024","28.90","28.30","28.90","28.30","7.89K","0.35%"
"07/04/2024","28.80","29.20","29.20","28.40","20.19K","-0.69%"
"07/03/2024","29.00","28.90","29.00","28.60","5.86K","0.69%"
"07/02/2024","28.80","28.90","29.00","28.60","15.78K","-1.03%"
"07/01/2024","29.10","29.20","29.20","28.90","8.02K","-1.02%"
"06/28/2024","29.40","28.90","29.50","28.90","1.25K","0.68%"
"06/27/2024","29.20","29.00","29.30","28.80","3.66K","0.69%"
"06/26/2024","29.00","28.80","29.00","28.80","3.34K","0.00%"
"06/25/2024","29.00","29.00","29.00","28.80","15.37K","0.00%"
"06/24/2024","29.00","29.20","29.30","29.00","7.80K","-0.68%"
"06/20/2024","29.20","28.80","29.40","28.80","6.97K","0.34%"
"06/19/2024","29.10","28.80","29.10","28.80","1.91K","-1.02%"
"06/18/2024","29.40","28.70","29.40","28.70","10.67K","1.73%"
"06/14/2024","28.90","28.70","28.90","28.50","1.05K","0.35%"
"06/13/2024","28.80","29.10","29.50","28.80","1.47K","-0.69%"
"06/12/2024","29.00","29.00","29.50","28.50","6.60K","1.40%"
"06/11/2024","28.60","28.50","29.60","28.50","8.07K","0.35%"
"06/10/2024","28.50","29.00","29.00","28.50","4.75K","-0.35%"
"06/07/2024","28.60","29.00","29.00","28.60","5.76K","-0.69%"
"06/06/2024","28.80","29.00","29.00","28.70","72.05K","1.41%"
"06/05/2024","28.40","28.40","29.00","28.40","3.61K","-2.07%"
"06/04/2024","29.00","28.40","29.00","28.30","5.22K","1.05%"
"06/03/2024","28.70","28.70","28.90","28.40","8.65K","-0.35%"
"05/31/2024","28.80","28.90","28.90","28.80","0.16K","-0.35%"
"05/30/2024","28.90","28.50","28.90","28.40","5.31K","0.00%"
"05/29/2024","28.90","29.40","29.40","28.90","2.46K","-0.34%"
"05/28/2024","29.00","28.50","29.50","28.50","6.61K","-1.69%"
"05/27/2024","29.50","28.80","29.80","28.40","25.16K","2.43%"
"05/22/2024","28.80","28.30","29.40","28.30","7.77K","-0.69%"
"05/21/2024","29.00","28.70","29.00","28.40","304.25K","1.05%"
"05/20/2024","28.70","29.00","29.00","28.40","1.31K","-1.03%"
"05/17/2024","29.00","28.30","29.00","28.30","37.53K","2.11%"
"05/16/2024","28.40","29.00","29.00","28.40","24.84K","-1.05%"
"05/15/2024","28.70","29.00","29.00","28.50","13.39K","-1.03%"
"05/14/2024","29.00","28.90","29.40","28.90","106.62K","-1.02%"
"05/13/2024","29.30","28.70","29.40","28.70","44.32K","1.03%"
"05/10/2024","29.00","28.50","29.50","28.50","2.03K","1.75%"
"05/09/2024","28.50","29.00","29.40","28.50","1.04M","-1.72%"
"05/08/2024","29.00","28.70","29.80","28.70","3.81K","0.00%"
"05/07/2024","29.00","28.90","29.00","28.70","71.28K","0.00%"
"05/06/2024","29.00","29.00","29.10","28.90","34.59K","0.00%"
"05/03/2024","29.00","29.00","29.50","28.90","45.16K","-0.68%"
"05/02/2024","29.20","29.00","29.20","29.00","33.06K","0.69%"
"04/30/2024","29.00","28.90","30.00","28.70","181.00K","0.69%"
"04/29/2024","28.80","29.30","29.40","28.50","2.27M","-0.69%"
"04/26/2024","29.00","28.20","29.10","28.20","95.83K","0.00%"
"04/25/2024","29.00","28.20","29.00","28.20","2.53K","0.00%"
"04/24/2024","29.00","29.00","29.00","28.10","0.15K","0.00%"
"04/22/2024","29.00","28.00","29.10","28.00","13.51K","3.20%"
"04/19/2024","28.10","28.10","28.80","28.10","3.23K","-0.35%"
"04/18/2024","28.20","28.50","28.80","28.00","27.59K","0.71%"
"04/17/2024","28.00","28.30","28.30","27.50","84.88K","-3.11%"
"04/16/2024","28.90","28.40","28.90","28.20","8.19K","-0.34%"
"04/15/2024","29.00","29.10","29.20","28.10","11.58K","-0.68%"
"04/10/2024","29.20","29.10","29.20","29.10","0.71K","0.00%"
"04/09/2024","29.20","29.50","29.60","29.10","334.43K","-1.02%"
"04/08/2024","29.50","29.50","29.60","29.10","88.28K","-0.34%"
"04/05/2024","29.60","29.10","29.70","29.10","67.20K","0.34%"
"04/04/2024","29.50","29.90","29.90","29.10","31.04K","0.00%"
"04/03/2024","29.50","29.50","29.50","29.50","80.74K","0.00%"
"04/02/2024","29.50","29.10","29.80","29.00","57.64K","0.00%"
"04/01/2024","29.50","29.20","30.00","29.00","35.80K","-1.01%"
"03/28/2024","29.80","29.90","29.90","29.50","27.69K","0.00%"
"03/27/2024","29.80","29.20","29.90","29.20","26.07K","0.68%"
"03/26/2024","29.60","29.90","29.90","29.50","31.57K","0.34%"
"03/25/2024","29.50","29.60","29.60","29.50","10.13K","0.00%"
"03/22/2024","29.50","29.50","30.00","29.50","8.55K","0.00%"
"03/21/2024","29.50","29.00","30.50","29.00","252.29K","1.72%"
"03/20/2024","29.00","28.50","29.10","28.50","812.18K","1.75%"
"03/19/2024","28.50","28.00","28.60","28.00","52.28K","0.71%"
"03/18/2024","28.30","28.00","28.40","28.00","67.75K","0.00%"
"03/15/2024","28.30","27.40","28.50","27.30","266.71K","4.04%"
"03/14/2024","27.20","27.10","27.40","27.10","28.44K","0.00%"
"03/13/2024","27.20","27.10","27.20","27.10","7.33K","-0.37%"
"03/12/2024","27.30","27.30","27.30","27.10","42.35K","-0.73%"
"03/11/2024","27.50","26.70","27.80","26.70","55.60K","2.23%"
"03/07/2024","26.90","26.50","26.90","26.50","6.55K","1.51%"
"03/06/2024","26.50","26.50","26.60","26.50","9.31K","0.00%"
"03/05/2024","26.50","26.10","26.70","26.10","111.58K","1.53%"
"03/04/2024","26.10","26.00","27.50","25.60","18.25K","0.38%"
"03/01/2024","26.00","26.20","26.20","25.90","65.06K","-0.76%"
"02/29/2024","26.20","26.90","26.90","26.20","9.04K","0.77%"
"02/28/2024","26.00","26.10","26.90","26.00","34.52K","-2.62%"
"02/27/2024","26.70","26.00","26.70","25.90","55.23K","1.91%"
"02/26/2024","26.20","26.20","26.20","26.00","22.85K","0.00%"
"02/22/2024","26.20","27.40","27.40","26.20","10.41K","-2.96%"
"02/21/2024","27.00","27.50","27.50","27.00","127.41K","0.00%"
"02/20/2024","27.00","26.80","27.00","26.30","106.90K","3.85%"
"02/19/2024","26.00","26.20","26.20","26.00","25.69K","-0.38%"
"02/16/2024","26.10","26.80","26.80","26.10","21.21K","-2.61%"
"02/15/2024","26.80","26.70","26.80","26.70","5.81K","0.00%"
"02/14/2024","26.80","27.00","27.00","26.70","23.48K","-0.74%"
"02/13/2024","27.00","27.00","27.00","27.00","0.10K","1.12%"
"02/12/2024","26.70","27.00","27.00","26.70","12.66K","0.38%"
"02/09/2024","26.60","26.70","26.70","26.60","2.11K","-0.37%"
"02/08/2024","26.70","27.00","27.30","26.70","289.14K","-2.91%"
"02/07/2024","27.50","26.80","27.50","26.80","1.70K","2.61%"
"02/06/2024","26.80","26.70","27.00","26.70","13.43K","0.37%"
"02/02/2024","26.70","26.80","27.50","26.60","11.34K","-1.48%"
"02/01/2024","27.10","27.90","27.90","27.10","1.31K","-2.52%"
"01/31/2024","27.80","27.00","28.00","26.80","102.16K","2.96%"
"01/30/2024","27.00","27.10","27.60","27.00","57.52K","0.00%"
"01/29/2024","27.00","26.50","27.80","26.50","70.50K","-1.10%"
"01/26/2024","27.30","27.10","27.30","26.20","347.87K","0.74%"
"01/24/2024","27.10","28.10","28.10","27.10","0.90K","-3.56%"
"01/23/2024","28.10","28.50","28.60","28.00","241.53K","-1.40%"
"01/22/2024","28.50","28.50","28.80","28.50","95.66K","0.35%"
"01/19/2024","28.40","28.00","28.50","28.00","517.91K","1.43%"
"01/18/2024","28.00","28.10","28.10","28.00","96.72K","0.00%"
"01/17/2024","28.00","27.90","28.20","27.60","586.61K","0.00%"
"01/16/2024","28.00","28.10","28.10","28.00","0.07K","0.00%"
"01/12/2024","28.00","27.50","28.00","27.50","123.56K","0.36%"
"01/11/2024","27.90","26.60","27.90","26.10","34.99K","0.72%"
"01/10/2024","27.70","27.90","28.00","26.50","5.05K","1.84%"
"01/09/2024","27.20","27.30","27.50","27.20","4.98K","-0.73%"
"01/08/2024","27.40","27.40","28.20","27.20","7.15K","-2.49%"
"01/05/2024","28.10","28.00","28.30","27.30","6.06K","0.36%"
"01/04/2024","28.00","27.90","28.20","27.90","247.76K","1.82%"
"01/03/2024","27.50","28.00","28.00","27.50","1.36K","-0.36%"
"01/02/2024","27.60","28.00","28.40","27.60","4.28K","-1.43%"
