"Date","Price","Open","High","Low","Vol.","Change %"
"09/13/2024","13.00","13.20","13.30","12.80","12.83K","2.36%"
"09/12/2024","12.70","12.60","12.80","12.60","547.03K","0.00%"
"09/11/2024","12.70","12.60","12.80","12.60","11.30K","0.00%"
"09/10/2024","12.70","12.60","12.80","12.60","54.06K","-0.78%"
"09/09/2024","12.80","12.80","12.90","12.60","96.64K","-0.78%"
"09/06/2024","12.90","13.00","13.00","12.90","0.36K","0.78%"
"09/05/2024","12.80","13.00","13.00","12.80","189.39K","-0.78%"
"09/04/2024","12.90","12.80","13.00","12.80","48.52K","0.78%"
"09/03/2024","12.80","12.90","13.00","12.50","206.37K","-1.54%"
"09/02/2024","13.00","13.00","13.30","12.90","234.99K","0.00%"
"08/30/2024","13.00","13.20","13.20","13.00","7.91K","-2.26%"
"08/29/2024","13.30","13.50","13.50","13.00","21.43K","0.00%"
"08/28/2024","13.30","13.50","13.50","13.20","126.88K","0.00%"
"08/27/2024","13.30","13.50","13.50","13.30","224.79K","-1.48%"
"08/26/2024","13.50","13.50","13.60","13.30","233.82K","0.00%"
"08/23/2024","13.50","13.50","13.60","13.30","366.48K","-0.74%"
"08/22/2024","13.60","13.80","13.90","13.50","48.24K","-0.73%"
"08/21/2024","13.70","13.50","13.80","13.50","387.92K","1.48%"
"08/20/2024","13.50","13.50","13.70","13.50","324.32K","-0.74%"
"08/16/2024","13.60","13.40","13.60","13.40","73.74K","3.03%"
"08/15/2024","13.20","13.50","13.50","13.20","6.19K","0.76%"
"08/14/2024","13.10","13.00","13.10","12.90","101.78K","0.77%"
"08/13/2024","13.00","13.00","13.10","13.00","19.73K","0.00%"
"08/12/2024","13.00","13.10","13.10","13.00","61.98K","0.00%"
"08/09/2024","13.00","13.00","13.20","12.90","437.35K","0.00%"
"08/08/2024","13.00","13.20","13.20","13.00","91.36K","-1.52%"
"08/07/2024","13.20","13.10","13.30","13.10","328.48K","0.00%"
"08/06/2024","13.20","13.20","13.20","13.10","2.80K","0.00%"
"08/05/2024","13.20","13.20","13.30","13.10","205.86K","-0.75%"
"08/02/2024","13.30","13.20","13.30","13.20","1.00K","0.00%"
"08/01/2024","13.30","13.30","13.40","13.10","507.98K","1.53%"
"07/31/2024","13.10","13.30","13.40","13.10","262.03K","-2.96%"
"07/30/2024","13.50","13.50","13.50","13.30","72.39K","0.75%"
"07/29/2024","13.40","13.40","13.50","13.30","126.95K","0.75%"
"07/26/2024","13.30","13.30","13.40","13.30","4.32K","0.00%"
"07/25/2024","13.30","13.20","13.40","13.20","30.69K","0.76%"
"07/24/2024","13.20","13.30","13.30","13.20","16.82K","0.00%"
"07/23/2024","13.20","13.00","13.40","13.00","293.13K","0.76%"
"07/22/2024","13.10","13.20","13.30","12.80","166.16K","-2.24%"
"07/19/2024","13.40","13.40","13.40","13.20","54.47K","0.00%"
"07/18/2024","13.40","13.40","13.40","13.30","117.53K","-0.74%"
"07/17/2024","13.50","13.60","13.60","13.50","0.20K","0.00%"
"07/16/2024","13.50","13.50","13.60","13.30","10.01K","0.75%"
"07/15/2024","13.40","13.20","13.50","13.20","43.56K","0.75%"
"07/12/2024","13.30","13.50","13.50","13.20","35.13K","0.00%"
"07/11/2024","13.30","13.60","13.60","13.30","24.30K","-0.75%"
"07/10/2024","13.40","13.60","13.60","13.40","167.55K","-0.74%"
"07/09/2024","13.50","13.50","13.50","13.40","30.31K","0.00%"
"07/08/2024","13.50","13.40","13.60","13.30","525.58K","0.00%"
"07/05/2024","13.50","13.50","13.90","13.40","72.80K","0.00%"
"07/04/2024","13.50","13.60","13.90","13.40","140.62K","-1.46%"
"07/03/2024","13.70","13.80","13.90","13.60","103.14K","-0.72%"
"07/02/2024","13.80","13.90","14.00","13.80","45.55K","0.00%"
"07/01/2024","13.80","14.00","14.00","13.80","99.65K","-0.72%"
"06/28/2024","13.90","14.00","14.00","13.80","41.64K","0.72%"
"06/27/2024","13.80","14.10","14.10","13.80","272.48K","-2.13%"
"06/26/2024","14.10","14.30","14.30","14.00","40.54K","-0.70%"
"06/25/2024","14.20","14.40","14.40","14.20","68.17K","-1.39%"
"06/24/2024","14.40","14.30","14.40","14.30","241.90K","0.70%"
"06/20/2024","14.30","14.60","14.60","14.30","92.49K","-1.38%"
"06/19/2024","14.50","14.60","14.60","14.40","44.41K","0.69%"
