Date,Price,Source File
09/13/2024,100.0,CERA
09/10/2024,100.0,CERA
09/09/2024,105.5,CERA
09/06/2024,106.5,CERA
09/04/2024,107.0,CERA
09/03/2024,101.0,CERA
09/02/2024,103.0,CERA
08/30/2024,103.0,CERA
08/29/2024,103.0,CERA
08/28/2024,103.0,CERA
08/27/2024,106.0,CERA
08/26/2024,101.25,CERA
08/23/2024,106.0,CERA
08/22/2024,106.0,CERA
08/21/2024,105.0,CERA
08/16/2024,106.0,CERA
08/15/2024,101.0,CERA
08/14/2024,106.5,CERA
08/13/2024,106.5,CERA
08/09/2024,106.0,CERA
08/08/2024,106.5,CERA
08/07/2024,106.25,CERA
08/05/2024,100.5,CERA
08/02/2024,101.25,CERA
08/01/2024,106.0,CERA
07/31/2024,106.25,CERA
07/30/2024,107.0,CERA
07/29/2024,105.0,CERA
07/26/2024,100.0,CERA
07/25/2024,100.0,CERA
07/24/2024,102.0,CERA
07/23/2024,102.0,CERA
07/19/2024,106.5,CERA
07/18/2024,99.0,CERA
07/17/2024,106.75,CERA
07/16/2024,100.5,CERA
07/15/2024,106.0,CERA
07/12/2024,104.0,CERA
07/10/2024,106.0,CERA
07/08/2024,104.0,CERA
07/04/2024,106.5,CERA
07/03/2024,106.5,CERA
07/02/2024,102.0,CERA
06/26/2024,107.0,CERA
06/24/2024,106.75,CERA
06/20/2024,106.0,CERA
06/19/2024,107.0,CERA
06/18/2024,107.0,CERA
06/14/2024,107.0,CERA
06/13/2024,107.0,CERA
06/12/2024,107.0,CERA
06/11/2024,107.0,CERA
06/10/2024,107.0,CERA
06/07/2024,103.5,CERA
06/06/2024,104.0,CERA
06/05/2024,103.75,CERA
06/04/2024,103.5,CERA
06/03/2024,102.0,CERA
05/31/2024,104.75,CERA
05/30/2024,98.0,CERA
05/29/2024,98.1,CERA
05/28/2024,100.0,CERA
05/22/2024,102.0,CERA
05/21/2024,102.0,CERA
05/17/2024,103.0,CERA
05/16/2024,103.5,CERA
05/13/2024,103.75,CERA
05/09/2024,105.0,CERA
05/08/2024,100.0,CERA
05/07/2024,103.75,CERA
05/06/2024,100.0,CERA
05/02/2024,104.0,CERA
04/30/2024,104.0,CERA
04/29/2024,104.75,CERA
04/26/2024,101.5,CERA
04/25/2024,97.0,CERA
04/24/2024,102.0,CERA
04/22/2024,96.0,CERA
04/19/2024,102.0,CERA
04/18/2024,92.5,CERA
04/17/2024,103.25,CERA
04/16/2024,104.0,CERA
04/10/2024,106.0,CERA
04/09/2024,109.5,CERA
04/08/2024,103.75,CERA
04/05/2024,102.75,CERA
04/04/2024,97.1,CERA
04/01/2024,103.0,CERA
03/28/2024,99.1,CERA
03/27/2024,104.5,CERA
03/26/2024,104.5,CERA
03/25/2024,102.5,CERA
03/22/2024,104.0,CERA
03/21/2024,104.0,CERA
03/20/2024,107.0,CERA
03/19/2024,104.0,CERA
03/15/2024,105.0,CERA
03/14/2024,104.5,CERA
03/13/2024,104.5,CERA
03/11/2024,98.0,CERA
03/07/2024,9.5,CERA
03/06/2024,91.4,CERA
03/05/2024,95.2,CERA
03/04/2024,95.0,CERA
03/01/2024,96.0,CERA
02/29/2024,102.5,CERA
02/28/2024,102.5,CERA
02/27/2024,98.0,CERA
02/26/2024,100.0,CERA
02/22/2024,102.5,CERA
02/21/2024,95.1,CERA
02/19/2024,95.0,CERA
02/16/2024,100.0,CERA
02/15/2024,100.0,CERA
02/08/2024,100.0,CERA
01/31/2024,100.0,CERA
01/30/2024,100.0,CERA
01/29/2024,100.0,CERA
01/26/2024,100.0,CERA
01/24/2024,100.0,CERA
01/23/2024,99.9,CERA
01/18/2024,100.0,CERA
01/17/2024,94.5,CERA
01/12/2024,100.0,CERA
01/11/2024,99.9,CERA
01/10/2024,99.9,CERA
01/08/2024,97.9,CERA
01/03/2024,94.1,CERA
01/02/2024,94.0,CERA
